product_pair,count,product_a,product_b
"('agro_industry_and_commerce', 'agro_industry_and_commerce')",52,agro_industry_and_commerce,agro_industry_and_commerce
"('christmas_supplies', 'christmas_supplies')",48,christmas_supplies,christmas_supplies
"('home_confort', 'home_confort')",48,home_confort,home_confort
"('musical_instruments', 'musical_instruments')",48,musical_instruments,musical_instruments
"('construction_tools_safety', 'construction_tools_safety')",45,construction_tools_safety,construction_tools_safety
"('kitchen_dining_laundry_garden_furniture', 'kitchen_dining_laundry_garden_furniture')",42,kitchen_dining_laundry_garden_furniture,kitchen_dining_laundry_garden_furniture
"('industry_commerce_and_business', 'industry_commerce_and_business')",39,industry_commerce_and_business,industry_commerce_and_business
"('furniture_decor', 'garden_tools')",34,furniture_decor,garden_tools
"('home_confort', 'bed_bath_table')",33,home_confort,bed_bath_table
"('computers', 'computers')",30,computers,computers
"('fashion_shoes', 'fashion_shoes')",29,fashion_shoes,fashion_shoes
"('diapers_and_hygiene', 'diapers_and_hygiene')",27,diapers_and_hygiene,diapers_and_hygiene
"('bed_bath_table', 'home_confort')",25,bed_bath_table,home_confort
"('garden_tools', 'furniture_decor')",25,garden_tools,furniture_decor
"('fashion_male_clothing', 'fashion_male_clothing')",23,fashion_male_clothing,fashion_male_clothing
"('bed_bath_table', 'housewares')",20,bed_bath_table,housewares
"('housewares', 'furniture_decor')",19,housewares,furniture_decor
"('furniture_decor', 'housewares')",18,furniture_decor,housewares
"('fashio_female_clothing', 'fashio_female_clothing')",18,fashio_female_clothing,fashio_female_clothing
"('housewares', 'bed_bath_table')",17,housewares,bed_bath_table
"('fashion_underwear_beach', 'fashion_underwear_beach')",16,fashion_underwear_beach,fashion_underwear_beach
"('baby', 'bed_bath_table')",16,baby,bed_bath_table
"('audio', 'audio')",15,audio,audio
"('furniture_bedroom', 'furniture_bedroom')",14,furniture_bedroom,furniture_bedroom
"('cool_stuff', 'baby')",14,cool_stuff,baby
"('baby', 'toys')",14,baby,toys
"('computers_accessories', 'electronics')",13,computers_accessories,electronics
"('garden_tools', 'computers_accessories')",13,garden_tools,computers_accessories
"('furniture_decor', 'baby')",13,furniture_decor,baby
"('toys', 'baby')",12,toys,baby
"('computers_accessories', 'garden_tools')",11,computers_accessories,garden_tools
"('drinks', 'health_beauty')",11,drinks,health_beauty
"('furniture_decor', 'construction_tools_lights')",11,furniture_decor,construction_tools_lights
"('bed_bath_table', 'health_beauty')",11,bed_bath_table,health_beauty
"('furniture_decor', 'home_construction')",10,furniture_decor,home_construction
"('cine_photo', 'cine_photo')",10,cine_photo,cine_photo
"('sports_leisure', 'office_furniture')",9,sports_leisure,office_furniture
"('baby', 'cool_stuff')",9,baby,cool_stuff
"('housewares', 'sports_leisure')",9,housewares,sports_leisure
"('garden_tools', 'housewares')",9,garden_tools,housewares
"('construction_tools_lights', 'furniture_decor')",9,construction_tools_lights,furniture_decor
"('home_construction', 'furniture_decor')",9,home_construction,furniture_decor
"('furniture_living_room', 'furniture_decor')",8,furniture_living_room,furniture_decor
"('baby', 'furniture_decor')",8,baby,furniture_decor
"('health_beauty', 'sports_leisure')",7,health_beauty,sports_leisure
"('books_imported', 'books_imported')",7,books_imported,books_imported
"('home_comfort_2', 'home_comfort_2')",7,home_comfort_2,home_comfort_2
"('office_furniture', 'bed_bath_table')",7,office_furniture,bed_bath_table
"('sports_leisure', 'health_beauty')",7,sports_leisure,health_beauty
"('perfumery', 'health_beauty')",7,perfumery,health_beauty
"('electronics', 'computers_accessories')",7,electronics,computers_accessories
"('home_appliances', 'home_appliances')",7,home_appliances,home_appliances
"('books_technical', 'books_technical')",7,books_technical,books_technical
"('health_beauty', 'perfumery')",7,health_beauty,perfumery
"('costruction_tools_tools', 'costruction_tools_tools')",6,costruction_tools_tools,costruction_tools_tools
"('housewares', 'garden_tools')",6,housewares,garden_tools
"('fashion_sport', 'fashion_sport')",6,fashion_sport,fashion_sport
"('flowers', 'furniture_decor')",6,flowers,furniture_decor
"('bed_bath_table', 'cool_stuff')",6,bed_bath_table,cool_stuff
"('garden_tools', 'home_construction')",6,garden_tools,home_construction
"('health_beauty', 'drinks')",6,health_beauty,drinks
"('bed_bath_table', 'baby')",6,bed_bath_table,baby
"('housewares', 'baby')",6,housewares,baby
"('market_place', 'bed_bath_table')",6,market_place,bed_bath_table
"('furniture_decor', 'home_confort')",6,furniture_decor,home_confort
"('dvds_blu_ray', 'dvds_blu_ray')",5,dvds_blu_ray,dvds_blu_ray
"('bed_bath_table', 'garden_tools')",5,bed_bath_table,garden_tools
"('auto', 'computers_accessories')",5,auto,computers_accessories
"('garden_tools', 'baby')",5,garden_tools,baby
"('stationery', 'health_beauty')",5,stationery,health_beauty
"('cool_stuff', 'bed_bath_table')",5,cool_stuff,bed_bath_table
"('cool_stuff', 'telephony')",5,cool_stuff,telephony
"('bed_bath_table', 'market_place')",5,bed_bath_table,market_place
"('furniture_decor', 'watches_gifts')",5,furniture_decor,watches_gifts
"('garden_tools', 'sports_leisure')",4,garden_tools,sports_leisure
"('health_beauty', 'stationery')",4,health_beauty,stationery
"('party_supplies', 'party_supplies')",4,party_supplies,party_supplies
"('office_furniture', 'sports_leisure')",4,office_furniture,sports_leisure
"('home_construction', 'construction_tools_safety')",4,home_construction,construction_tools_safety
"('furniture_decor', 'art')",4,furniture_decor,art
"('musical_instruments', 'toys')",4,musical_instruments,toys
"('sports_leisure', 'housewares')",4,sports_leisure,housewares
"('furniture_decor', 'office_furniture')",4,furniture_decor,office_furniture
"('stationery', 'luggage_accessories')",4,stationery,luggage_accessories
"('health_beauty', 'bed_bath_table')",4,health_beauty,bed_bath_table
"('watches_gifts', 'audio')",4,watches_gifts,audio
"('auto', 'telephony')",4,auto,telephony
"('furniture_living_room', 'office_furniture')",4,furniture_living_room,office_furniture
"('bed_bath_table', 'office_furniture')",4,bed_bath_table,office_furniture
"('cool_stuff', 'toys')",4,cool_stuff,toys
"('flowers', 'flowers')",4,flowers,flowers
"('baby', 'garden_tools')",4,baby,garden_tools
"('tablets_printing_image', 'tablets_printing_image')",4,tablets_printing_image,tablets_printing_image
"('toys', 'cool_stuff')",4,toys,cool_stuff
"('electronics', 'housewares')",4,electronics,housewares
"('telephony', 'computers_accessories')",4,telephony,computers_accessories
"('computers_accessories', 'cool_stuff')",4,computers_accessories,cool_stuff
"('home_appliances_2', 'home_appliances_2')",4,home_appliances_2,home_appliances_2
"('computers_accessories', 'housewares')",3,computers_accessories,housewares
"('home_construction', 'housewares')",3,home_construction,housewares
"('furniture_decor', 'furniture_living_room')",3,furniture_decor,furniture_living_room
"('housewares', 'stationery')",3,housewares,stationery
"('cool_stuff', 'computers_accessories')",3,cool_stuff,computers_accessories
"('housewares', 'food_drink')",3,housewares,food_drink
"('garden_tools', 'bed_bath_table')",3,garden_tools,bed_bath_table
"('telephony', 'cool_stuff')",3,telephony,cool_stuff
"('kitchen_dining_laundry_garden_furniture', 'bed_bath_table')",3,kitchen_dining_laundry_garden_furniture,bed_bath_table
"('furniture_decor', 'auto')",3,furniture_decor,auto
"('furniture_decor', 'electronics')",3,furniture_decor,electronics
"('toys', 'stationery')",3,toys,stationery
"('home_confort', 'furniture_decor')",3,home_confort,furniture_decor
"('food', 'health_beauty')",3,food,health_beauty
"('construction_tools_construction', 'garden_tools')",3,construction_tools_construction,garden_tools
"('sports_leisure', 'construction_tools_lights')",3,sports_leisure,construction_tools_lights
"('drinks', 'sports_leisure')",3,drinks,sports_leisure
"('housewares', 'industry_commerce_and_business')",3,housewares,industry_commerce_and_business
"('bed_bath_table', 'electronics')",3,bed_bath_table,electronics
"('pet_shop', 'furniture_decor')",3,pet_shop,furniture_decor
"('small_appliances', 'furniture_decor')",3,small_appliances,furniture_decor
"('computers_accessories', 'home_construction')",3,computers_accessories,home_construction
"('garden_tools', 'construction_tools_construction')",3,garden_tools,construction_tools_construction
"('art', 'furniture_decor')",3,art,furniture_decor
"('construction_tools_safety', 'home_construction')",3,construction_tools_safety,home_construction
"('sports_leisure', 'watches_gifts')",3,sports_leisure,watches_gifts
"('stationery', 'toys')",3,stationery,toys
"('watches_gifts', 'garden_tools')",3,watches_gifts,garden_tools
"('luggage_accessories', 'stationery')",2,luggage_accessories,stationery
"('auto', 'consoles_games')",2,auto,consoles_games
"('art', 'art')",2,art,art
"('small_appliances', 'telephony')",2,small_appliances,telephony
"('auto', 'cool_stuff')",2,auto,cool_stuff
"('market_place', 'furniture_decor')",2,market_place,furniture_decor
"('toys', 'sports_leisure')",2,toys,sports_leisure
"('furniture_decor', 'perfumery')",2,furniture_decor,perfumery
"('bed_bath_table', 'sports_leisure')",2,bed_bath_table,sports_leisure
"('construction_tools_construction', 'health_beauty')",2,construction_tools_construction,health_beauty
"('furniture_decor', 'industry_commerce_and_business')",2,furniture_decor,industry_commerce_and_business
"('pet_shop', 'construction_tools_construction')",2,pet_shop,construction_tools_construction
"('auto', 'drinks')",2,auto,drinks
"('construction_tools_construction', 'auto')",2,construction_tools_construction,auto
"('small_appliances', 'sports_leisure')",2,small_appliances,sports_leisure
"('fashion_childrens_clothes', 'fashion_bags_accessories')",2,fashion_childrens_clothes,fashion_bags_accessories
"('watches_gifts', 'stationery')",2,watches_gifts,stationery
"('furniture_decor', 'stationery')",2,furniture_decor,stationery
"('sports_leisure', 'toys')",2,sports_leisure,toys
"('baby', 'fashion_bags_accessories')",2,baby,fashion_bags_accessories
"('auto', 'sports_leisure')",2,auto,sports_leisure
"('furniture_decor', 'health_beauty')",2,furniture_decor,health_beauty
"('computers_accessories', 'furniture_decor')",2,computers_accessories,furniture_decor
"('computers_accessories', 'luggage_accessories')",2,computers_accessories,luggage_accessories
"('toys', 'bed_bath_table')",2,toys,bed_bath_table
"('office_furniture', 'furniture_decor')",2,office_furniture,furniture_decor
"('cine_photo', 'cool_stuff')",2,cine_photo,cool_stuff
"('baby', 'fashion_shoes')",2,baby,fashion_shoes
"('cine_photo', 'telephony')",2,cine_photo,telephony
"('garden_tools', 'auto')",2,garden_tools,auto
"('cool_stuff', 'health_beauty')",2,cool_stuff,health_beauty
"('toys', 'health_beauty')",2,toys,health_beauty
"('health_beauty', 'cool_stuff')",2,health_beauty,cool_stuff
"('furniture_decor', 'market_place')",2,furniture_decor,market_place
"('health_beauty', 'watches_gifts')",2,health_beauty,watches_gifts
"('sports_leisure', 'garden_tools')",2,sports_leisure,garden_tools
"('home_construction', 'garden_tools')",2,home_construction,garden_tools
"('baby', 'construction_tools_lights')",2,baby,construction_tools_lights
"('baby', 'housewares')",2,baby,housewares
"('stationery', 'fashion_bags_accessories')",2,stationery,fashion_bags_accessories
"('auto', 'bed_bath_table')",2,auto,bed_bath_table
"('watches_gifts', 'furniture_decor')",2,watches_gifts,furniture_decor
"('auto', 'construction_tools_construction')",2,auto,construction_tools_construction
"('computers_accessories', 'sports_leisure')",2,computers_accessories,sports_leisure
"('furniture_decor', 'cool_stuff')",2,furniture_decor,cool_stuff
"('sports_leisure', 'auto')",2,sports_leisure,auto
"('health_beauty', 'telephony')",2,health_beauty,telephony
"('cool_stuff', 'watches_gifts')",2,cool_stuff,watches_gifts
"('furniture_decor', 'computers')",2,furniture_decor,computers
"('cool_stuff', 'furniture_decor')",2,cool_stuff,furniture_decor
"('watches_gifts', 'sports_leisure')",2,watches_gifts,sports_leisure
"('cds_dvds_musicals', 'cds_dvds_musicals')",2,cds_dvds_musicals,cds_dvds_musicals
"('housewares', 'auto')",2,housewares,auto
"('toys', 'perfumery')",2,toys,perfumery
"('audio', 'watches_gifts')",2,audio,watches_gifts
"('furniture_decor', 'musical_instruments')",2,furniture_decor,musical_instruments
"('computers_accessories', 'telephony')",2,computers_accessories,telephony
"('kitchen_dining_laundry_garden_furniture', 'housewares')",2,kitchen_dining_laundry_garden_furniture,housewares
"('stationery', 'computers_accessories')",2,stationery,computers_accessories
"('garden_tools', 'stationery')",2,garden_tools,stationery
"('perfumery', 'sports_leisure')",2,perfumery,sports_leisure
"('consoles_games', 'toys')",2,consoles_games,toys
"('sports_leisure', 'food')",2,sports_leisure,food
"('furniture_decor', 'sports_leisure')",2,furniture_decor,sports_leisure
"('telephony', 'auto')",2,telephony,auto
"('health_beauty', 'luggage_accessories')",2,health_beauty,luggage_accessories
"('cool_stuff', 'tablets_printing_image')",2,cool_stuff,tablets_printing_image
"('sports_leisure', 'stationery')",2,sports_leisure,stationery
"('stationery', 'housewares')",2,stationery,housewares
"('construction_tools_construction', 'bed_bath_table')",1,construction_tools_construction,bed_bath_table
"('construction_tools_construction', 'toys')",1,construction_tools_construction,toys
"('bed_bath_table', 'home_appliances_2')",1,bed_bath_table,home_appliances_2
"('fixed_telephony', 'telephony')",1,fixed_telephony,telephony
"('auto', 'baby')",1,auto,baby
"('sports_leisure', 'air_conditioning')",1,sports_leisure,air_conditioning
"('cool_stuff', 'books_general_interest')",1,cool_stuff,books_general_interest
"('telephony', 'electronics')",1,telephony,electronics
"('food_drink', 'sports_leisure')",1,food_drink,sports_leisure
"('market_place', 'housewares')",1,market_place,housewares
"('perfumery', 'pet_shop')",1,perfumery,pet_shop
"('furniture_decor', 'furniture_bedroom')",1,furniture_decor,furniture_bedroom
"('health_beauty', 'baby')",1,health_beauty,baby
"('auto', 'home_comfort_2')",1,auto,home_comfort_2
"('furniture_living_room', 'toys')",1,furniture_living_room,toys
"('toys', 'furniture_living_room')",1,toys,furniture_living_room
"('cool_stuff', 'housewares')",1,cool_stuff,housewares
"('bed_bath_table', 'costruction_tools_garden')",1,bed_bath_table,costruction_tools_garden
"('health_beauty', 'furniture_decor')",1,health_beauty,furniture_decor
"('watches_gifts', 'auto')",1,watches_gifts,auto
"('housewares', 'market_place')",1,housewares,market_place
"('small_appliances_home_oven_and_coffee', 'small_appliances_home_oven_and_coffee')",1,small_appliances_home_oven_and_coffee,small_appliances_home_oven_and_coffee
"('auto', 'garden_tools')",1,auto,garden_tools
"('watches_gifts', 'telephony')",1,watches_gifts,telephony
"('electronics', 'telephony')",1,electronics,telephony
"('perfumery', 'toys')",1,perfumery,toys
"('cool_stuff', 'auto')",1,cool_stuff,auto
"('furniture_decor', 'books_technical')",1,furniture_decor,books_technical
"('cool_stuff', 'home_construction')",1,cool_stuff,home_construction
"('sports_leisure', 'consoles_games')",1,sports_leisure,consoles_games
"('furniture_living_room', 'bed_bath_table')",1,furniture_living_room,bed_bath_table
"('watches_gifts', 'computers_accessories')",1,watches_gifts,computers_accessories
"('costruction_tools_garden', 'bed_bath_table')",1,costruction_tools_garden,bed_bath_table
"('health_beauty', 'small_appliances')",1,health_beauty,small_appliances
"('books_technical', 'music')",1,books_technical,music
"('construction_tools_safety', 'cool_stuff')",1,construction_tools_safety,cool_stuff
"('electronics', 'food')",1,electronics,food
"('signaling_and_security', 'baby')",1,signaling_and_security,baby
"('home_confort', 'watches_gifts')",1,home_confort,watches_gifts
"('office_furniture', 'computers_accessories')",1,office_furniture,computers_accessories
"('computers_accessories', 'construction_tools_construction')",1,computers_accessories,construction_tools_construction
"('perfumery', 'electronics')",1,perfumery,electronics
"('sports_leisure', 'food_drink')",1,sports_leisure,food_drink
"('telephony', 'watches_gifts')",1,telephony,watches_gifts
"('bed_bath_table', 'food')",1,bed_bath_table,food
"('housewares', 'construction_tools_construction')",1,housewares,construction_tools_construction
"('costruction_tools_garden', 'home_construction')",1,costruction_tools_garden,home_construction
"('cool_stuff', 'construction_tools_safety')",1,cool_stuff,construction_tools_safety
"('housewares', 'computers_accessories')",1,housewares,computers_accessories
"('books_technical', 'costruction_tools_garden')",1,books_technical,costruction_tools_garden
"('books_technical', 'health_beauty')",1,books_technical,health_beauty
"('bed_bath_table', 'auto')",1,bed_bath_table,auto
"('baby', 'construction_tools_safety')",1,baby,construction_tools_safety
"('toys', 'kitchen_dining_laundry_garden_furniture')",1,toys,kitchen_dining_laundry_garden_furniture
"('watches_gifts', 'construction_tools_construction')",1,watches_gifts,construction_tools_construction
"('sports_leisure', 'furniture_decor')",1,sports_leisure,furniture_decor
"('kitchen_dining_laundry_garden_furniture', 'construction_tools_construction')",1,kitchen_dining_laundry_garden_furniture,construction_tools_construction
"('construction_tools_lights', 'costruction_tools_garden')",1,construction_tools_lights,costruction_tools_garden
"('market_place', 'musical_instruments')",1,market_place,musical_instruments
"('art', 'stationery')",1,art,stationery
"('health_beauty', 'fashion_bags_accessories')",1,health_beauty,fashion_bags_accessories
"('perfumery', 'housewares')",1,perfumery,housewares
"('furniture_decor', 'construction_tools_construction')",1,furniture_decor,construction_tools_construction
"('health_beauty', 'market_place')",1,health_beauty,market_place
"('pet_shop', 'health_beauty')",1,pet_shop,health_beauty
"('dvds_blu_ray', 'computers_accessories')",1,dvds_blu_ray,computers_accessories
"('luggage_accessories', 'baby')",1,luggage_accessories,baby
"('toys', 'telephony')",1,toys,telephony
"('housewares', 'health_beauty')",1,housewares,health_beauty
"('perfumery', 'watches_gifts')",1,perfumery,watches_gifts
"('computers_accessories', 'health_beauty')",1,computers_accessories,health_beauty
"('auto', 'furniture_decor')",1,auto,furniture_decor
"('arts_and_craftmanship', 'garden_tools')",1,arts_and_craftmanship,garden_tools
"('garden_tools', 'costruction_tools_garden')",1,garden_tools,costruction_tools_garden
"('sports_leisure', 'perfumery')",1,sports_leisure,perfumery
"('electronics', 'watches_gifts')",1,electronics,watches_gifts
"('electronics', 'small_appliances')",1,electronics,small_appliances
"('housewares', 'electronics')",1,housewares,electronics
"('cool_stuff', 'sports_leisure')",1,cool_stuff,sports_leisure
"('costruction_tools_garden', 'telephony')",1,costruction_tools_garden,telephony
"('cine_photo', 'sports_leisure')",1,cine_photo,sports_leisure
"('electronics', 'sports_leisure')",1,electronics,sports_leisure
"('auto', 'housewares')",1,auto,housewares
"('watches_gifts', 'health_beauty')",1,watches_gifts,health_beauty
"('health_beauty', 'food')",1,health_beauty,food
"('consoles_games', 'housewares')",1,consoles_games,housewares
"('luggage_accessories', 'telephony')",1,luggage_accessories,telephony
"('fashion_bags_accessories', 'musical_instruments')",1,fashion_bags_accessories,musical_instruments
"('industry_commerce_and_business', 'office_furniture')",1,industry_commerce_and_business,office_furniture
"('garden_tools', 'luggage_accessories')",1,garden_tools,luggage_accessories
"('luggage_accessories', 'garden_tools')",1,luggage_accessories,garden_tools
"('watches_gifts', 'housewares')",1,watches_gifts,housewares
"('toys', 'watches_gifts')",1,toys,watches_gifts
"('baby', 'auto')",1,baby,auto
"('fashion_bags_accessories', 'baby')",1,fashion_bags_accessories,baby
"('auto', 'musical_instruments')",1,auto,musical_instruments
"('fashion_bags_accessories', 'auto')",1,fashion_bags_accessories,auto
"('pet_shop', 'food')",1,pet_shop,food
"('garden_tools', 'construction_tools_lights')",1,garden_tools,construction_tools_lights
"('bed_bath_table', 'construction_tools_lights')",1,bed_bath_table,construction_tools_lights
"('arts_and_craftmanship', 'arts_and_craftmanship')",1,arts_and_craftmanship,arts_and_craftmanship
"('books_general_interest', 'baby')",1,books_general_interest,baby
"('housewares', 'home_construction')",1,housewares,home_construction
"('consoles_games', 'pet_shop')",1,consoles_games,pet_shop
"('bed_bath_table', 'furniture_living_room')",1,bed_bath_table,furniture_living_room
"('office_furniture', 'furniture_living_room')",1,office_furniture,furniture_living_room
"('watches_gifts', 'electronics')",1,watches_gifts,electronics
"('sports_leisure', 'computers_accessories')",1,sports_leisure,computers_accessories
"('perfumery', 'market_place')",1,perfumery,market_place
"('perfumery', 'bed_bath_table')",1,perfumery,bed_bath_table
"('construction_tools_construction', 'pet_shop')",1,construction_tools_construction,pet_shop
"('watches_gifts', 'baby')",1,watches_gifts,baby
"('musical_instruments', 'home_comfort_2')",1,musical_instruments,home_comfort_2
"('bed_bath_table', 'construction_tools_safety')",1,bed_bath_table,construction_tools_safety
"('housewares', 'watches_gifts')",1,housewares,watches_gifts
"('air_conditioning', 'computers_accessories')",1,air_conditioning,computers_accessories
"('baby', 'watches_gifts')",1,baby,watches_gifts
"('housewares', 'dvds_blu_ray')",1,housewares,dvds_blu_ray
"('dvds_blu_ray', 'housewares')",1,dvds_blu_ray,housewares
"('auto', 'luggage_accessories')",1,auto,luggage_accessories
"('housewares', 'drinks')",1,housewares,drinks
"('computers_accessories', 'consoles_games')",1,computers_accessories,consoles_games
"('drinks', 'housewares')",1,drinks,housewares
"('tablets_printing_image', 'computers_accessories')",1,tablets_printing_image,computers_accessories
"('pet_shop', 'costruction_tools_garden')",1,pet_shop,costruction_tools_garden
"('christmas_supplies', 'auto')",1,christmas_supplies,auto
"('auto', 'christmas_supplies')",1,auto,christmas_supplies
"('furniture_bedroom', 'baby')",1,furniture_bedroom,baby
"('food', 'pet_shop')",1,food,pet_shop
"('garden_tools', 'watches_gifts')",1,garden_tools,watches_gifts
"('toys', 'arts_and_craftmanship')",1,toys,arts_and_craftmanship
"('telephony', 'garden_tools')",1,telephony,garden_tools
"('cool_stuff', 'consoles_games')",1,cool_stuff,consoles_games
"('bed_bath_table', 'pet_shop')",1,bed_bath_table,pet_shop
"('electronics', 'perfumery')",1,electronics,perfumery
"('sports_leisure', 'drinks')",1,sports_leisure,drinks
"('industry_commerce_and_business', 'housewares')",1,industry_commerce_and_business,housewares
"('fashion_bags_accessories', 'fashion_sport')",1,fashion_bags_accessories,fashion_sport
"('pet_shop', 'sports_leisure')",1,pet_shop,sports_leisure
"('fixed_telephony', 'food')",1,fixed_telephony,food
"('computers_accessories', 'bed_bath_table')",1,computers_accessories,bed_bath_table
"('home_confort', 'housewares')",1,home_confort,housewares
"('music', 'perfumery')",1,music,perfumery
"('electronics', 'home_construction')",1,electronics,home_construction
"('baby', 'sports_leisure')",1,baby,sports_leisure
"('musical_instruments', 'watches_gifts')",1,musical_instruments,watches_gifts
"('books_general_interest', 'market_place')",1,books_general_interest,market_place
"('garden_tools', 'pet_shop')",1,garden_tools,pet_shop
"('furniture_living_room', 'baby')",1,furniture_living_room,baby
"('health_beauty', 'auto')",1,health_beauty,auto
"('electronics', 'luggage_accessories')",1,electronics,luggage_accessories
"('musical_instruments', 'luggage_accessories')",1,musical_instruments,luggage_accessories
"('housewares', 'books_general_interest')",1,housewares,books_general_interest
"('la_cuisine', 'la_cuisine')",1,la_cuisine,la_cuisine
"('baby', 'la_cuisine')",1,baby,la_cuisine
"('auto', 'electronics')",1,auto,electronics
"('party_supplies', 'bed_bath_table')",1,party_supplies,bed_bath_table
"('market_place', 'books_general_interest')",1,market_place,books_general_interest
"('small_appliances', 'housewares')",1,small_appliances,housewares
"('housewares', 'small_appliances')",1,housewares,small_appliances
"('home_construction', 'construction_tools_lights')",1,home_construction,construction_tools_lights
"('fashio_female_clothing', 'fashion_sport')",1,fashio_female_clothing,fashion_sport
"('construction_tools_safety', 'computers_accessories')",1,construction_tools_safety,computers_accessories
"('electronics', 'garden_tools')",1,electronics,garden_tools
"('flowers', 'costruction_tools_garden')",1,flowers,costruction_tools_garden
"('la_cuisine', 'garden_tools')",1,la_cuisine,garden_tools
"('furniture_decor', 'kitchen_dining_laundry_garden_furniture')",1,furniture_decor,kitchen_dining_laundry_garden_furniture
"('furniture_living_room', 'garden_tools')",1,furniture_living_room,garden_tools
"('furniture_bedroom', 'bed_bath_table')",1,furniture_bedroom,bed_bath_table
"('market_place', 'health_beauty')",1,market_place,health_beauty
"('industry_commerce_and_business', 'furniture_decor')",1,industry_commerce_and_business,furniture_decor
